Year,Event,Name,NOC,Awarded_Medal
2028,Men's Pole Vault,Armand Duplantis,Sweden,Gold
2028,Men's Pole Vault,Sam Kendricks,United States,Silver
2028,Men's Pole Vault,Christopher Nilsen,United States,Bronze
2028,Men's Pommel Horse,Max Whitlock,Great Britain,Gold
2028,Men's Pommel Horse,Jingyuan Zou,China,Silver
2028,Men's Pommel Horse,Daiki Hashimoto,Japan,Bronze
2028,Men's Quadruple Sculls,Tone Wieten,Netherlands,Gold
2028,Men's Quadruple Sculls,Koen Metsemakers,Netherlands,Silver
2028,Men's Quadruple Sculls,Finn Florijn,Netherlands,Bronze
2028,Men's Rings,Max Whitlock,Great Britain,Gold
2028,Men's Rings,Jingyuan Zou,China,Silver
2028,Men's Rings,Daiki Hashimoto,Japan,Bronze
2028,Men's Road Race,Stephen Williams,Great Britain,Gold
2028,Men's Road Race,Elia Viviani,Italy,Silver
2028,Men's Road Race,Remco Evenepoel,Belgium,Bronze
2028,Men's Sabre Individual,Sanguk Oh,South Korea,Gold
2028,Men's Sabre Individual,Luigi Samele,Italy,Silver
2028,Men's Sabre Individual,Bongil Gu,South Korea,Bronze
2028,Men's Sabre Team,Sanguk Oh,South Korea,Gold
2028,Men's Sabre Team,Luigi Samele,Italy,Silver
2028,Men's Sabre Team,Bongil Gu,South Korea,Bronze
2028,Men's Shot Put,Mohamed Khalifa,Egypt,Gold
2028,Men's Shot Put,Ryan Crouser,United States,Silver
2028,Men's Shot Put,Joe Kovacs,United States,Bronze
2028,Men's Single Sculls,Oliver Zeidler,Germany,Gold
2028,Men's Single Sculls,Damir Martin,Croatia,Silver
2028,Men's Single Sculls,Stephen Cox,Zimbabwe,Bronze
2028,Men's Singles,Zhendong Fan,China,Gold
2028,Men's Singles,Dimitrij Ovtcharov,Germany,Silver
2028,Men's Singles,Viktor Axelsen,Denmark,Bronze
2028,Men's Skiff,James Peters,Great Britain,Gold
2028,Men's Skiff,Florian Trittel,Spain,Silver
2028,Men's Skiff,Diego Botin,Spain,Bronze
2028,Men's Speed,Veddriq Leonardo,Indonesia,Gold
2028,Men's Speed,Peng Wu,China,Silver
2028,Men's Speed,Sam Watson,United States,Bronze
2028,Men's Sprint,Harrie Lavreysen,Netherlands,Gold
2028,Men's Sprint,Mikhail Yakovlev,Israel,Silver
2028,Men's Sprint,Jeffrey Hoogland,Netherlands,Bronze
2028,Men's Street,Yuto Horigome,Japan,Gold
2028,Men's Street,Jagger Eaton,United States,Silver
2028,Men's Street,Nyjah Huston,United States,Bronze
2028,Men's Synchronised 10m Platform,Thomas Daley,Great Britain,Gold
2028,Men's Synchronised 10m Platform,Hao Yang,China,Silver
2028,Men's Synchronised 10m Platform,Junjie Lian,China,Bronze
2028,Men's Synchronised 3m Springboard,Zongyuan Wang,China,Gold
2028,Men's Synchronised 3m Springboard,Jack Laugher,Great Britain,Silver
2028,Men's Synchronised 3m Springboard,Daoyi Long,China,Bronze
2028,Men's Team,Max Whitlock,Great Britain,Gold
2028,Men's Team,Timo Boll,Germany,Silver
2028,Men's Team,Mauro Nespoli,Italy,Bronze
2028,Men's Team Pursuit,Sam Welsford,Australia,Gold
2028,Men's Team Pursuit,Simone Consonni,Italy,Silver
2028,Men's Team Pursuit,Francesco Lamon,Italy,Bronze
2028,Men's Team Sprint,Harrie Lavreysen,Netherlands,Gold
2028,Men's Team Sprint,Jeffrey Hoogland,Netherlands,Silver
2028,Men's Team Sprint,Matthew Glaetzer,Australia,Bronze
2028,Men's Triple Jump,Pedro Pichardo,Portugal,Gold
2028,Men's Triple Jump,Alejandro Diaz,Spain,Silver
2028,Men's Triple Jump,Max Hess,Germany,Bronze
2028,Men's Vault,Max Whitlock,Great Britain,Gold
2028,Men's Vault,Jingyuan Zou,China,Silver
